2019-04-15 14:16:23,293 INFO [main] ?.?(?) | using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2019-04-15 14:16:25,137 WARN [main] com.alibaba.dubbo.config.spring.extension.SpringExtensionFactory.getExtension(63) |  [DUBBO] No spring extension (bean) named:defaultCompiler, try to find an extension (bean) of type java.lang.String, dubbo version: 2.6.5, current host: 192.168.251.148
2019-04-15 14:16:25,138 WARN [main] com.alibaba.dubbo.config.spring.extension.SpringExtensionFactory.getExtension(81) |  [DUBBO] No spring extension (bean) named:defaultCompiler, type:java.lang.String found, stop get bean., dubbo version: 2.6.5, current host: 192.168.251.148
2019-04-15 14:16:25,872 INFO [main] com.alibaba.dubbo.config.spring.ServiceBean.onApplicationEvent(129) |  [DUBBO] The service ready on spring started. service: com.hary.remote.service.UserServiceRemote, dubbo version: 2.6.5, current host: 192.168.251.148
2019-04-15 14:16:25,982 INFO [main] com.alibaba.dubbo.config.ServiceConfig.exportLocal(539) |  [DUBBO] Export dubbo service com.hary.remote.service.UserServiceRemote to local registry, dubbo version: 2.6.5, current host: 192.168.251.148
2019-04-15 14:16:25,982 INFO [main] com.alibaba.dubbo.config.ServiceConfig.doExportUrlsFor1Protocol(491) |  [DUBBO] Export dubbo service com.hary.remote.service.UserServiceRemote to url dubbo://192.168.251.148:20881/com.hary.remote.service.UserServiceRemote?anyhost=true&application=provider&bean.name=com.hary.remote.service.UserServiceRemote&bind.ip=192.168.251.148&bind.port=20881&dubbo=2.0.2&generic=false&interface=com.hary.remote.service.UserServiceRemote&methods=queryUserByUsernameAndPassword,queryUserByPage,updateUserTelAgeSexById,queryUserByUser_Tel,queryUserByUser_Name,addUser,updateUserPasswordById,queryUserByID,queryRecord,queryAllUser,deleteUserByID&pid=8156&side=provider&timestamp=1555308985884, dubbo version: 2.6.5, current host: 192.168.251.148
2019-04-15 14:16:25,982 INFO [main] com.alibaba.dubbo.config.ServiceConfig.doExportUrlsFor1Protocol(501) |  [DUBBO] Register dubbo service com.hary.remote.service.UserServiceRemote url dubbo://192.168.251.148:20881/com.hary.remote.service.UserServiceRemote?anyhost=true&application=provider&bean.name=com.hary.remote.service.UserServiceRemote&bind.ip=192.168.251.148&bind.port=20881&dubbo=2.0.2&generic=false&interface=com.hary.remote.service.UserServiceRemote&methods=queryUserByUsernameAndPassword,queryUserByPage,updateUserTelAgeSexById,queryUserByUser_Tel,queryUserByUser_Name,addUser,updateUserPasswordById,queryUserByID,queryRecord,queryAllUser,deleteUserByID&pid=8156&side=provider&timestamp=1555308985884 to registry registry://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=provider&dubbo=2.0.2&pid=8156&registry=zookeeper&timestamp=1555308985877, dubbo version: 2.6.5, current host: 192.168.251.148
2019-04-15 14:16:26,447 INFO [main] com.alibaba.dubbo.qos.server.Server.start(100) |  [DUBBO] qos-server bind localhost:22222, dubbo version: 2.6.5, current host: 192.168.251.148
2019-04-15 14:16:26,579 INFO [main] com.alibaba.dubbo.remoting.transport.AbstractServer.<init>(65) |  [DUBBO] Start NettyServer bind /0.0.0.0:20881, export /192.168.251.148:20881, dubbo version: 2.6.5, current host: 192.168.251.148
2019-04-15 14:16:26,597 INFO [main] com.alibaba.dubbo.registry.support.AbstractRegistry.loadProperties(200) |  [DUBBO] Load registry store file C:\Users\chenzhenhui\.dubbo\dubbo-registry-provider-127.0.0.1:2181.cache, data: {com.hary.remote.service.UserServiceRemote=empty://192.168.251.148:20881/com.hary.remote.service.UserServiceRemote?anyhost=true&application=provider&bean.name=com.hary.remote.service.UserServiceRemote&category=configurators&check=false&dubbo=2.0.2&generic=false&interface=com.hary.remote.service.UserServiceRemote&methods=queryUserByUsernameAndPassword,queryUserByPage,updateUserTelAgeSexById,queryUserByUser_Tel,queryUserByUser_Name,addUser,updateUserPasswordById,queryUserByID,queryRecord,queryAllUser,deleteUserByID&pid=10300&side=provider&timestamp=1555292454820, com.hary.remote.service.RoleServiceRemote=empty://192.168.251.148:20881/com.hary.remote.service.RoleServiceRemote?anyhost=true&application=provider&bean.name=com.hary.remote.service.RoleServiceRemote&category=configurators&check=false&dubbo=2.0.2&generic=false&interface=com.hary.remote.service.RoleServiceRemote&methods=queryRoleByUsername&pid=10300&side=provider&timestamp=1555292456179, com.hary.remote.service.OrderServiceRemote=empty://192.168.251.148:20880/com.hary.remote.service.OrderServiceRemote?anyhost=true&application=provider&bean.name=com.hary.remote.service.OrderServiceRemote&category=configurators&check=false&dubbo=2.0.2&generic=false&interface=com.hary.remote.service.OrderServiceRemote&methods=selectByPrimaryKey,insertSelective,updateByPrimaryKeySelective,updateByPrimaryKey,insert,addOrder,deleteByPrimaryKey&pid=6312&side=provider&timestamp=1553839611013, com.hary.remote.service.RedisServiceRemote=empty://192.168.251.148:20881/com.hary.remote.service.RedisServiceRemote?anyhost=true&application=provider&bean.name=com.hary.remote.service.RedisServiceRemote&category=configurators&check=false&dubbo=2.0.2&generic=false&interface=com.hary.remote.service.RedisServiceRemote&methods=add,set,lRange,remove,hmSet,removePattern,get,exists,rangeByScore,lGetIndex,setMembers,hmGet,lPush,zAdd&pid=10300&side=provider&timestamp=1555292456055, com.hary.remote.service.PermissionServiceRemote=empty://192.168.251.148:20881/com.hary.remote.service.PermissionServiceRemote?anyhost=true&application=provider&bean.name=com.hary.remote.service.PermissionServiceRemote&category=configurators&check=false&dubbo=2.0.2&generic=false&interface=com.hary.remote.service.PermissionServiceRemote&methods=queryPermissionByRole_Id&pid=10300&side=provider&timestamp=1555292456226, com.springboot.service.TestService:1.0.0=empty://192.168.251.148:20880/com.springboot.service.TestService?anyhost=true&application=provider&category=configurators&check=false&dubbo=2.0.2&generic=false&interface=com.springboot.service.TestService&methods=findUser,sayHello&pid=732&revision=1.0.0&side=provider&timestamp=1552030690653&version=1.0.0, com.hary.remote.service.CommodityServiceRemote=empty://192.168.251.148:20881/com.hary.remote.service.CommodityServiceRemote?anyhost=true&application=provider&bean.name=com.hary.remote.service.CommodityServiceRemote&category=configurators&check=false&dubbo=2.0.2&generic=false&interface=com.hary.remote.service.CommodityServiceRemote&methods=selectByPrimaryKey,insertSelective,updateByPrimaryKeySelective,updateByPrimaryKey,insert,deleteByPrimaryKey,updateInventoryByCommodityId&pid=10300&side=provider&timestamp=1555292456101, com.hary.remote.service.User_OrderServiceRemote=empty://192.168.251.148:20881/com.hary.remote.service.User_OrderServiceRemote?anyhost=true&application=provider&bean.name=com.hary.remote.service.User_OrderServiceRemote&category=configurators&check=false&dubbo=2.0.2&generic=false&interface=com.hary.remote.service.User_OrderServiceRemote&methods=queryAllUser_Order,addOrder&pid=10300&side=provider&timestamp=1555292456148}, dubbo version: 2.6.5, current host: 192.168.251.148
2019-04-15 14:16:26,711 INFO [main] com.alibaba.dubbo.registry.support.AbstractRegistry.register(273) |  [DUBBO] Register: dubbo://192.168.251.148:20881/com.hary.remote.service.UserServiceRemote?anyhost=true&application=provider&bean.name=com.hary.remote.service.UserServiceRemote&dubbo=2.0.2&generic=false&interface=com.hary.remote.service.UserServiceRemote&methods=queryUserByUsernameAndPassword,queryUserByPage,updateUserTelAgeSexById,queryUserByUser_Tel,queryUserByUser_Name,addUser,updateUserPasswordById,queryUserByID,queryRecord,queryAllUser,deleteUserByID&pid=8156&side=provider&timestamp=1555308985884, dubbo version: 2.6.5, current host: 192.168.251.148
